1,Babar Azam,Pakistan,824,56.72
2,Shubman Gill,India,801,61.38
3,Virat Kohli,India,768,58.68
4,Rohit Sharma,India,746,49.12
5,David Warner,Australia,745,45.01
6,Daryl Mitchell,New Zealand,728,52.57
7,Harry Tector,Ireland,723,48.67
8,Dawid Malan,England,707,55.77
9,Rassie van der Dussen,South Africa,701,52.44
10,Shai Hope,West Indies,699,49.78
11,Heinrich Klaasen,South Africa,697,40.07
12,Shreyas Iyer,India,689,49.65
13,Ibrahim Zadran,Afghanistan,684,51.44
14,Fakhar Zaman,Pakistan,682,46.56
15,Travis Head,Australia,679,41.33
